room_id,last_modified,price,latitude,longitude
281817,2017-07-11T17:21:48Z,95,32.728569,-117.122819
292285,2017-07-11T18:18:00Z,150,32.749166,-117.231265
293128,2017-07-11T17:18:47Z,55,32.75541,-117.145355
293133,2017-07-11T17:26:27Z,81,32.749763,-117.132884
293609,2017-07-11T18:13:36Z,159,32.759848,-117.143543
308508,2017-07-11T17:43:30Z,110,32.753686,-117.250071
311052,2017-07-11T15:51:27Z,70,32.761333,-117.104547
320559,2017-07-11T17:53:34Z,125,32.734672,-117.127509
323711,2017-07-11T17:22:20Z,85,32.795237,-117.009362
331892,2017-07-11T15:51:24Z,65,32.750024,-117.166278
334730,2017-07-11T17:21:42Z,99,32.751244,-117.183472
343495,2017-07-11T17:41:00Z,110,32.751816,-117.245016
346722,2017-07-11T18:08:29Z,165,32.72847,-117.161078
350486,2017-07-11T19:30:56Z,279,32.709525,-117.15539
359838,2017-07-11T17:53:37Z,125,32.717082,-117.139343
359971,2017-07-11T17:21:55Z,86,32.757418,-117.147889
366811,2017-07-11T16:22:26Z,90,32.817577,-117.168453
373322,2017-07-11T19:26:18Z,242,32.792474,-117.232929
393042,2017-07-11T15:51:31Z,80,32.738145,-117.220045
393062,2017-07-11T19:25:56Z,275,32.856804,-117.202592
394524,2017-07-11T17:52:22Z,125,32.801432,-117.257246
395071,2017-07-11T19:27:54Z,235,32.789366,-117.25509
396390,2017-07-11T15:53:23Z,80,32.74494,-117.174124
401431,2017-07-11T17:59:54Z,125,32.751272,-117.248897
401581,2017-07-11T15:16:06Z,59,32.830769,-117.273348
409649,2017-07-11T15:08:44Z,35,32.804075,-117.160607
409683,2017-07-11T19:21:52Z,264,32.839185,-117.277763
410726,2017-07-11T19:27:10Z,250,32.834498,-117.275668
411946,2017-07-11T20:54:36Z,400,32.76024,-117.248385
413705,2017-07-11T15:08:48Z,50,32.779253,-117.205431
422569,2017-07-11T17:56:43Z,135,32.724501,-117.16927
426121,2017-07-11T17:40:55Z,109,32.742579,-117.177841
431904,2017-07-11T15:51:29Z,75,32.745518,-117.066152
438786,2017-07-11T17:18:36Z,35,32.749468,-117.143434
443994,2017-07-11T17:40:53Z,110,32.802777,-117.189603
449781,2017-07-11T19:25:24Z,300,32.74451,-117.180585
460016,2017-07-11T17:42:20Z,120,32.720186,-117.163004
462375,2017-07-11T19:26:03Z,210,32.720694,-117.131039
466663,2017-07-11T15:09:20Z,59,32.726616,-117.16599
468475,2017-07-11T15:11:27Z,59,32.726602,-117.163762
470519,2017-07-11T15:11:20Z,59,32.72795,-117.163924
470520,2017-07-11T15:49:16Z,69,32.727284,-117.164414
472433,2017-07-11T21:37:42Z,900,32.828623,-117.280077
473679,2017-07-11T17:18:50Z,60,32.720056,-117.127524
474236,2017-07-11T19:22:34Z,220,32.796958,-117.033188
479322,2017-07-11T17:53:23Z,126,32.710092,-117.144515
483463,2017-07-11T17:40:53Z,115,32.756973,-117.121005
483688,2017-07-11T17:54:49Z,129,32.765164,-117.18973
495832,2017-07-11T17:52:39Z,139,32.804275,-117.242903
497584,2017-07-11T17:40:51Z,120,32.720115,-117.163642
500915,2017-07-11T19:15:17Z,199,32.728584,-117.126886
501019,2017-07-11T19:11:35Z,189,32.752941,-117.180026
506774,2017-07-11T17:23:25Z,100,32.71994,-117.128653
507903,2017-07-11T17:18:50Z,52,32.817565,-117.261248
510428,2017-07-11T18:14:21Z,149,32.715886,-117.142575
519849,2017-07-11T19:23:06Z,300,32.791235,-117.235574
519919,2017-07-11T17:46:59Z,115,32.751668,-117.247094
522108,2017-07-11T19:26:03Z,225,32.719046,-117.12827
531406,2017-07-11T16:31:51Z,125,32.832535,-117.259094
533390,2017-07-11T19:25:27Z,290,32.741519,-117.134736
539229,2017-07-11T20:49:09Z,350,32.714745,-117.153826
560227,2017-07-11T20:45:26Z,499,32.786042,-117.253338
561997,2017-07-11T19:22:07Z,253,32.807563,-117.196822
563806,2017-07-11T20:45:23Z,410,32.778876,-117.251604
